APY,ACTUAL_PROJECT_YEAR,APY_COST_inf2018,search_term
2014.0,2014ZIAHL006001,3134172.0,TargetOnly
2014.0,2014ZIAHL006002,1143736.0,TargetOnly
2014.0,2014ZIAHL006175,857802.0,TargetOnly
2014.0,2014ZIAHL006173,857802.0,TargetOnly
2016.0,2016ZIADK047050,236369.0,TargetOnly
2016.0,2016ZIADK047052,229416.0,TargetOnly
2013.0,2013ZIAHG000024,2955638.0,TargetOnly
2019.0,2019ZIAES103337,340905.0,TargetOnly
2017.0,2017ZIAAA000350,1901406.0,TargetOnly
2018.0,2018ZIAAA000242,2758020.0,TargetOnly
2018.0,2018ZIABC005562,1748246.0,TargetOnly
2015.0,2015ZIABC009052,2309989.0,TargetOnly
2009.0,2009M01RR000082,1710398.0,TargetOnly
2011.0,2011P41RR001209,3479872.0,TargetOnly
2020.0,2020P41GM104601,1740227.0,TargetOnly
2014.0,2014P41GM103393,2601699.0,TargetOnly
2007.0,2007K23RR017720,142252.0,TargetOnly
2017.0,2017K23HL118138,172495.0,TargetOnly
2016.0,2016K23HL111339,194066.0,TargetOnly
2010.0,2010K23DK074396,175812.0,TargetOnly
2018.0,2018K23GM110496,179347.0,TargetOnly
2016.0,2016K23AR064768,169113.0,TargetOnly
2011.0,2011KL2RR024994,2206692.0,TargetOnly
2017.0,2017KL2TR001432,940205.0,TargetOnly
2019.0,2019KL2TR001429,658372.0,TargetOnly
2020.0,2020KL2TR002241,1301936.0,TargetOnly
2010.0,2010S10RR026814,302447.0,TargetOnly
2014.0,2014S10OD018522,2190585.0,TargetOnly
2016.0,2016S10OD021832,1072096.0,TargetOnly
2006.0,2006N01HC055015,0.0,TargetOnly
2006.0,2006N01HC095095,0.0,TargetOnly
2012.0,2012R37CA054281,2723611.0,TargetOnly
2016.0,2016R37HL061795,460123.0,TargetOnly
2018.0,2018R37HL055323,415681.0,TargetOnly
2013.0,2013R37HL077796,476341.0,TargetOnly
2011.0,2011R37HL064159,500007.0,TargetOnly
