APY,ACTUAL_PROJECT_YEAR,APY_COST_inf2018,search_term
2003.0,2003P01AG017617,1694639.0,TargetOnly
2002.0,2002P01AG017617,2217102.0,TargetOnly
2001.0,2001P01AG017617,2234577.0,TargetOnly
2010.0,2010P01AG017628,1773147.0,TargetOnly
2005.0,2005P01AG017628,1166251.0,TargetOnly
2012.0,2012P01AG018357,135740.0,TargetOnly
2011.0,2011P01AG018357,1305068.0,TargetOnly
2010.0,2010P01AG018357,1359932.0,TargetOnly
2009.0,2009P01AG018357,1355547.0,TargetOnly
2008.0,2008P01AG018357,1311343.0,TargetOnly
2005.0,2005P01AG018357,1224243.0,TargetOnly
2003.0,2003P01AG018357,1224784.0,TargetOnly
2002.0,2002P01AG018357,1212556.0,TargetOnly
2020.0,2020P01AG019724,2320570.0,TargetOnly
2019.0,2019P01AG019724,2349866.0,TargetOnly
2018.0,2018P01AG019724,2373110.0,TargetOnly
2017.0,2017P01AG019724,2454032.0,TargetOnly
2016.0,2016P01AG019724,1989537.0,TargetOnly
2015.0,2015P01AG019724,1945046.0,TargetOnly
2014.0,2014P01AG019724,2006570.0,TargetOnly
2012.0,2012P01AG019724,2143513.0,TargetOnly
2011.0,2011P01AG019724,1878145.0,TargetOnly
2010.0,2010P01AG019724,1967399.0,TargetOnly
2009.0,2009P01AG019724,1965155.0,TargetOnly
2008.0,2008P01AG019724,1910482.0,TargetOnly
2007.0,2007P01AG019724,2043505.0,TargetOnly
2013.0,2013P01AG020206,1479180.0,TargetOnly
2012.0,2012P01AG020206,1068226.0,TargetOnly
2011.0,2011P01AG020206,2183670.0,TargetOnly
2010.0,2010P01AG020206,1761009.0,TargetOnly
2005.0,2005P01AG020206,1614220.0,TargetOnly
2003.0,2003P01AG020206,1566568.0,TargetOnly
2007.0,2007P01AG021184,1755731.0,TargetOnly
2006.0,2006P01AG021184,1806973.0,TargetOnly
2005.0,2005P01AG021184,1956214.0,TargetOnly
2004.0,2004P01AG021184,1866693.0,TargetOnly
2013.0,2013P01AG021601,1922294.0,TargetOnly
2012.0,2012P01AG021601,2071328.0,TargetOnly
2011.0,2011P01AG021601,2120770.0,TargetOnly
2007.0,2007P01AG021601,6102055.0,TargetOnly
2012.0,2012P01AG022074,2125935.0,TargetOnly
2011.0,2011P01AG022074,4407932.0,TargetOnly
2010.0,2010P01AG022074,3599512.0,TargetOnly
2009.0,2009P01AG022074,3544812.0,TargetOnly
2008.0,2008P01AG022074,3432790.0,TargetOnly
2007.0,2007P01AG022074,3018632.0,TargetOnly
2006.0,2006P01AG022074,3070404.0,TargetOnly
2005.0,2005P01AG022074,3208569.0,TargetOnly
2004.0,2004P01AG022074,3122541.0,TargetOnly
2003.0,2003P01AG022074,3035347.0,TargetOnly
2010.0,2010P01AG021830,1225241.0,TargetOnly
2020.0,2020P01AG025204,2084236.0,TargetOnly
2019.0,2019P01AG025204,2303375.0,TargetOnly
2018.0,2018P01AG025204,1995282.0,TargetOnly
2017.0,2017P01AG025204,2069878.0,TargetOnly
2016.0,2016P01AG025204,2090413.0,TargetOnly
2014.0,2014P01AG025204,1215938.0,TargetOnly
2013.0,2013P01AG025204,1396146.0,TargetOnly
2012.0,2012P01AG025204,1553129.0,TargetOnly
2011.0,2011P01AG025204,1655008.0,TargetOnly
2009.0,2009P01AG025204,1348080.0,TargetOnly
2008.0,2008P01AG025204,1369889.0,TargetOnly
2007.0,2007P01AG025204,1314913.0,TargetOnly
2006.0,2006P01AG025204,1263951.0,TargetOnly
2010.0,2010P01AG025831,149708.0,TargetOnly
2009.0,2009P01AG025831,1631677.0,TargetOnly
2006.0,2006P01AG025831,1707443.0,TargetOnly
2020.0,2020P01AG026276,2007374.0,TargetOnly
2019.0,2019P01AG026276,2294097.0,TargetOnly
2018.0,2018P01AG026276,2085733.0,TargetOnly
2017.0,2017P01AG026276,2117958.0,TargetOnly
2016.0,2016P01AG026276,2132872.0,TargetOnly
2015.0,2015P01AG026276,2423467.0,TargetOnly
2014.0,2014P01AG026276,2492768.0,TargetOnly
2013.0,2013P01AG026276,2792939.0,TargetOnly
2012.0,2012P01AG026276,2031882.0,TargetOnly
2011.0,2011P01AG026276,2334405.0,TargetOnly
2009.0,2009P01AG026276,1897229.0,TargetOnly
2008.0,2008P01AG026276,1948306.0,TargetOnly
2007.0,2007P01AG026276,1672106.0,TargetOnly
2005.0,2005P01AG026276,1459471.0,TargetOnly
2006.0,2006P01AG026276,1390673.0,TargetOnly
2011.0,2011P01AG025531,129769.0,TargetOnly
2010.0,2010P01AG025531,1098740.0,TargetOnly
2020.0,2020P01AG026572,2422760.0,TargetOnly
2018.0,2018P01AG026572,2369475.0,TargetOnly
2019.0,2019P01AG026572,2336359.0,TargetOnly
2016.0,2016P01AG026572,2191487.0,TargetOnly
2015.0,2015P01AG026572,2087773.0,TargetOnly
2013.0,2013P01AG026572,1818259.0,TargetOnly
2012.0,2012P01AG026572,1889040.0,TargetOnly
2011.0,2011P01AG026572,1919053.0,TargetOnly
2010.0,2010P01AG026572,1876178.0,TargetOnly
2009.0,2009P01AG026572,1875300.0,TargetOnly
2008.0,2008P01AG026572,1822418.0,TargetOnly
2007.0,2007P01AG026572,1872000.0,TargetOnly
2010.0,2010P01AG027818,1788051.0,TargetOnly
2009.0,2009P01AG027818,1797070.0,TargetOnly
2008.0,2008P01AG027818,1751676.0,TargetOnly
2007.0,2007P01AG027818,1807291.0,TargetOnly
2010.0,2010P01AG027916,1751763.0,TargetOnly
2009.0,2009P01AG027916,2153481.0,TargetOnly
2011.0,2011P01AG026423,2670908.0,TargetOnly
2010.0,2010P01AG026423,2791491.0,TargetOnly
2008.0,2008P01AG026423,2701026.0,TargetOnly
2017.0,2017P01AG027956,1169233.0,TargetOnly
2020.0,2020P01AG031862,2116566.0,TargetOnly
2013.0,2013P01AG030128,1886736.0,TargetOnly
2012.0,2012P01AG030128,2061865.0,TargetOnly
2011.0,2011P01AG030128,2096626.0,TargetOnly
2010.0,2010P01AG030128,2204794.0,TargetOnly
2009.0,2009P01AG030128,2270154.0,TargetOnly
2013.0,2013P01AG031097,1992896.0,TargetOnly
2009.0,2009P01AG031097,2634861.0,TargetOnly
2020.0,2020P01AG031720,3363621.0,TargetOnly
2014.0,2014P01AG032953,1227427.0,TargetOnly
2013.0,2013P01AG032953,1178726.0,TargetOnly
2012.0,2012P01AG032953,1265614.0,TargetOnly
2020.0,2020P01AG036694,3210330.0,TargetOnly
2019.0,2019P01AG036694,2641895.0,TargetOnly
2018.0,2018P01AG036694,2814664.0,TargetOnly
2017.0,2017P01AG036694,2470508.0,TargetOnly
2016.0,2016P01AG036694,2525040.0,TargetOnly
2015.0,2015P01AG036694,2484402.0,TargetOnly
2014.0,2014P01AG036694,2177485.0,TargetOnly
2013.0,2013P01AG036694,2111198.0,TargetOnly
2012.0,2012P01AG036694,2283264.0,TargetOnly
2011.0,2011P01AG036694,2353645.0,TargetOnly
2013.0,2013P01AG034906,1714200.0,TargetOnly
2017.0,2017P01AG043362,1613243.0,TargetOnly
2020.0,2020P01AG052350,2352170.0,TargetOnly
